id_passenger,passenger_firstname,passenger_lastname,passenger_class,passenger_age,passenger_ticket_number,passenger_gender,ports_id,passenger_fare,survived,numberofsiblings,numberofparentchildren,home_destination
251,Ryerson," Miss. Susan Parker "Suzette"",First,21,"PC 17608",Female,2,262.375,1,2,2,"Haverford, PA / Cooperstown, NY"
252,Ryerson," Mr. Arthur Larned",First,61,"PC 17608",Male,2,262.375,0,1,3,"Haverford, PA / Cooperstown, NY"
253,Ryerson," Mrs. Arthur Larned (Emily Maria Borie)",First,48,"PC 17608",Female,2,262.375,1,1,3,"Haverford, PA / Cooperstown, NY"
254,Saalfeld," Mr. Adolphe",First,,19988,Male,1,30.5,1,0,0,"Manchester, England"
255,Sagesser," Mlle. Emma",First,24,"PC 17477",Female,2,69.3,1,0,0,
256,Salomon," Mr. Abraham L",First,,111163,Male,1,26,1,0,0,"New York, NY"
257,Schabert," Mrs. Paul (Emma Mock)",First,35,13236,Female,2,57.75,1,1,0,"New York, NY"
258,Serepeca," Miss. Augusta",First,30,113798,Female,2,31,1,0,0,
259,Seward," Mr. Frederic Kimber",First,34,113794,Male,1,26.55,1,0,0,"New York, NY"
260,Shutes," Miss. Elizabeth W",First,40,"PC 17582",Female,1,153.4625,1,0,0,"New York, NY / Greenwich CT"
261,Silverthorne," Mr. Spencer Victor",First,35,"PC 17475",Male,1,26.2875,1,0,0,"St Louis, MO"
262,Silvey," Mr. William Baird",First,50,13507,Male,1,55.9,0,1,0,"Duluth, MN"
263,Silvey," Mrs. William Baird (Alice Munger)",First,39,13507,Female,1,55.9,1,1,0,"Duluth, MN"
264,Simonius-Blumer," Col. Oberst Alfons",First,56,13213,Male,2,35.5,1,0,0,"Basel, Switzerland"
265,Sloper," Mr. William Thompson",First,28,113788,Male,1,35.5,1,0,0,"New Britain, CT"
266,Smart," Mr. John Montgomery",First,56,113792,Male,1,26.55,0,0,0,"New York, NY"
267,Smith," Mr. James Clinch",First,56,17764,Male,2,30.6958,0,0,0,"St James, Long Island, NY"
268,Smith," Mr. Lucien Philip",First,24,13695,Male,1,60,0,1,0,"Huntington, WV"
269,Smith," Mr. Richard William",First,,113056,Male,1,26,0,0,0,"Streatham, Surrey"
270,Smith," Mrs. Lucien Philip (Mary Eloise Hughes)",First,18,13695,Female,1,60,1,1,0,"Huntington, WV"
271,Snyder," Mr. John Pillsbury",First,24,21228,Male,1,82.2667,1,1,0,"Minneapolis, MN"
272,Snyder," Mrs. John Pillsbury (Nelle Stevenson)",First,23,21228,Female,1,82.2667,1,1,0,"Minneapolis, MN"
273,Spedden," Master. Robert Douglas",First,6,16966,Male,2,134.5,1,0,2,"Tuxedo Park, NY"
274,Spedden," Mr. Frederic Oakley",First,45,16966,Male,2,134.5,1,1,1,"Tuxedo Park, NY"
275,Spedden," Mrs. Frederic Oakley (Margaretta Corning Stone)",First,40,16966,Female,2,134.5,1,1,1,"Tuxedo Park, NY"
276,Spencer," Mr. William Augustus",First,57,"PC 17569",Male,2,146.5208,0,1,0,"Paris, France"
277,Spencer," Mrs. William Augustus (Marie Eugenie)",First,,"PC 17569",Female,2,146.5208,1,1,0,"Paris, France"
278,Stahelin-Maeglin," Dr. Max",First,32,13214,Male,2,30.5,1,0,0,"Basel, Switzerland"
279,Stead," Mr. William Thomas",First,62,113514,Male,1,26.55,0,0,0,"Wimbledon Park, London / Hayling Island, Hants"
280,Stengel," Mr. Charles Emil Henry",First,54,11778,Male,2,55.4417,1,1,0,"Newark, NJ"
281,Stengel," Mrs. Charles Emil Henry (Annie May Morris)",First,43,11778,Female,2,55.4417,1,1,0,"Newark, NJ"
282,Stephenson," Mrs. Walter Bertram (Martha Eustis)",First,52,36947,Female,2,78.2667,1,1,0,"Haverford, PA"
283,Stewart," Mr. Albert A",First,,"PC 17605",Male,2,27.7208,0,0,0,"Gallipolis, Ohio / ? Paris / New York"
284,Stone," Mrs. George Nelson (Martha Evelyn)",First,62,113572,Female,,80,1,0,0,"Cincinatti, OH"
285,Straus," Mr. Isidor",First,67,"PC 17483",Male,1,221.7792,0,1,0,"New York, NY"
286,Straus," Mrs. Isidor (Rosalie Ida Blun)",First,63,"PC 17483",Female,1,221.7792,0,1,0,"New York, NY"
287,Sutton," Mr. Frederick",First,61,36963,Male,1,32.3208,0,0,0,"Haddenfield, NJ"
288,Swift," Mrs. Frederick Joel (Margaret Welles Barron)",First,48,17466,Female,1,25.9292,1,0,0,"Brooklyn, NY"
289,Taussig," Miss. Ruth",First,18,110413,Female,1,79.65,1,0,2,"New York, NY"
290,Taussig," Mr. Emil",First,52,110413,Male,1,79.65,0,1,1,"New York, NY"
291,Taussig," Mrs. Emil (Tillie Mandelbaum)",First,39,110413,Female,1,79.65,1,1,1,"New York, NY"
292,Taylor," Mr. Elmer Zebley",First,48,19996,Male,1,52,1,1,0,"London /  East Orange, NJ"
293,Taylor," Mrs. Elmer Zebley (Juliet Cummins Wright)",First,,19996,Female,1,52,1,1,0,"London /  East Orange, NJ"
294,Thayer," Mr. John Borland",First,49,17421,Male,2,110.8833,0,1,1,"Haverford, PA"
295,Thayer," Mr. John Borland Jr",First,17,17421,Male,2,110.8833,1,0,2,"Haverford, PA"
296,Thayer," Mrs. John Borland (Marian Longstreth Morris)",First,39,17421,Female,2,110.8833,1,1,1,"Haverford, PA"
297,Thorne," Mrs. Gertrude Maybelle",First,,"PC 17585",Female,2,79.2,1,0,0,"New York, NY"
298,Tucker," Mr. Gilbert Milligan Jr",First,31,2543,Male,2,28.5375,1,0,0,"Albany, NY"
299,Uruchurtu," Don. Manuel E",First,40,"PC 17601",Male,2,27.7208,0,0,0,"Mexico City, Mexico"
300,"Van der hoef"," Mr. Wyckoff",First,61,111240,Male,1,33.5,0,0,0,"Brooklyn, NY"
301,Walker," Mr. William Anderson",First,47,36967,Male,1,34.0208,0,0,0,"East Orange, NJ"
302,Ward," Miss. Anna",First,35,"PC 17755",Female,2,512.3292,1,0,0,
303,Warren," Mr. Frank Manley",First,64,110813,Male,2,75.25,0,1,0,"Portland, OR"
304,Warren," Mrs. Frank Manley (Anna Sophia Atkinson)",First,60,110813,Female,2,75.25,1,1,0,"Portland, OR"
305,Weir," Col. John",First,60,113800,Male,1,26.55,0,0,0,"England Salt Lake City, Utah"
306,White," Mr. Percival Wayland",First,54,35281,Male,1,77.2875,0,0,1,"Brunswick, ME"
307,White," Mr. Richard Frasar",First,21,35281,Male,1,77.2875,0,0,1,"Brunswick, ME"
308,White," Mrs. John Stuart (Ella Holmes)",First,55,"PC 17760",Female,2,135.6333,1,0,0,"New York, NY / Briarcliff Manor NY"
309,Wick," Miss. Mary Natalie",First,31,36928,Female,1,164.8667,1,0,2,"Youngstown, OH"
310,Wick," Mr. George Dennick",First,57,36928,Male,1,164.8667,0,1,1,"Youngstown, OH"
311,Wick," Mrs. George Dennick (Mary Hitchcock)",First,45,36928,Female,1,164.8667,1,1,1,"Youngstown, OH"
312,Widener," Mr. George Dunton",First,50,113503,Male,2,211.5,0,1,1,"Elkins Park, PA"
313,Widener," Mr. Harry Elkins",First,27,113503,Male,2,211.5,0,0,2,"Elkins Park, PA"
314,Widener," Mrs. George Dunton (Eleanor Elkins)",First,50,113503,Female,2,211.5,1,1,1,"Elkins Park, PA"
315,Willard," Miss. Constance",First,21,113795,Female,1,26.55,1,0,0,"Duluth, MN"
316,Williams," Mr. Charles Duane",First,51,"PC 17597",Male,2,61.3792,0,0,1,"Geneva, Switzerland / Radnor, PA"
317,Williams," Mr. Richard Norris II",First,21,"PC 17597",Male,2,61.3792,1,0,1,"Geneva, Switzerland / Radnor, PA"
318,Williams-Lambert," Mr. Fletcher Fellows",First,,113510,Male,1,35,0,0,0,"London, England"
319,Wilson," Miss. Helen Alice",First,31,16966,Female,2,134.5,1,0,0,
320,Woolner," Mr. Hugh",First,,19947,Male,1,35.5,1,0,0,"London, England"
321,Wright," Mr. George",First,62,113807,Male,1,26.55,0,0,0,"Halifax, NS"
322,Young," Miss. Marie Grice",First,36,"PC 17760",Female,2,135.6333,1,0,0,"New York, NY / Washington, DC"
323,Abelson," Mr. Samuel",Second,30,"P/PP 3381",Male,2,24,0,1,0,"Russia New York, NY"
324,Abelson," Mrs. Samuel (Hannah Wizosky)",Second,28,"P/PP 3381",Female,2,24,1,1,0,"Russia New York, NY"
325,Aldworth," Mr. Charles Augustus",Second,30,248744,Male,1,13,0,0,0,"Bryn Mawr, PA, USA"
326,Andrew," Mr. Edgardo Samuel",Second,18,231945,Male,1,11.5,0,0,0,"Buenos Aires, Argentina / New Jersey, NJ"
327,Andrew," Mr. Frank Thomas",Second,25,"C.A. 34050",Male,1,10.5,0,0,0,"Cornwall, England Houghton, MI"
328,Angle," Mr. William A",Second,34,226875,Male,1,26,0,1,0,"Warwick, England"
329,Angle," Mrs. William A (Florence "Mary" Agnes Hughes)",Second,36,226875,Female,1,26,1,1,0,"Warwick, England"
330,Ashby," Mr. John",Second,57,244346,Male,1,13,0,0,0,"West Hoboken, NJ"
331,Bailey," Mr. Percy Andrew",Second,18,29108,Male,1,11.5,0,0,0,"Penzance, Cornwall / Akron, OH"
332,Baimbrigge," Mr. Charles Robert",Second,23,"C.A. 31030",Male,1,10.5,0,0,0,Guernsey
333,Ball," Mrs. (Ada E Hall)",Second,36,28551,Female,1,13,1,0,0,"Bristol, Avon / Jacksonville, FL"
334,Banfield," Mr. Frederick James",Second,28,"C.A./SOTON 34068",Male,1,10.5,0,0,0,"Plymouth, Dorset / Houghton, MI"
335,Bateman," Rev. Robert James",Second,51,"S.O.P. 1166",Male,1,12.525,0,0,0,"Jacksonville, FL"
336,Beane," Mr. Edward",Second,32,2908,Male,1,26,1,1,0,"Norwich / New York, NY"
337,Beane," Mrs. Edward (Ethel Clarke)",Second,19,2908,Female,1,26,1,1,0,"Norwich / New York, NY"
338,Beauchamp," Mr. Henry James",Second,28,244358,Male,1,26,0,0,0,England
339,Becker," Master. Richard F",Second,1,230136,Male,1,39,1,2,1,"Guntur, India / Benton Harbour, MI"
340,Becker," Miss. Marion Louise",Second,4,230136,Female,1,39,1,2,1,"Guntur, India / Benton Harbour, MI"
341,Becker," Miss. Ruth Elizabeth",Second,12,230136,Female,1,39,1,2,1,"Guntur, India / Benton Harbour, MI"
342,Becker," Mrs. Allen Oliver (Nellie E Baumgardner)",Second,36,230136,Female,1,39,1,0,3,"Guntur, India / Benton Harbour, MI"
343,Beesley," Mr. Lawrence",Second,34,248698,Male,1,13,1,0,0,London
344,Bentham," Miss. Lilian W",Second,19,28404,Female,1,13,1,0,0,"Rochester, NY"
345,Berriman," Mr. William John",Second,23,28425,Male,1,13,0,0,0,"St Ives, Cornwall / Calumet, MI"
346,Botsford," Mr. William Hull",Second,26,237670,Male,1,13,0,0,0,"Elmira, NY / Orange, NJ"
347,Bowenur," Mr. Solomon",Second,42,211535,Male,1,13,0,0,0,London
348,Bracken," Mr. James H",Second,27,220367,Male,1,13,0,0,0,"Lake Arthur, Chavez County, NM"
349,Brown," Miss. Amelia "Mildred"",Second,24,248733,Female,1,13,1,0,0,"London / Montreal, PQ"
350,Brown," Miss. Edith Eileen",Second,15,29750,Female,1,39,1,0,2,"Cape Town, South Africa / Seattle, WA"
351,Brown," Mr. Thomas William Solomon",Second,60,29750,Male,1,39,0,1,1,"Cape Town, South Africa / Seattle, WA"
352,Brown," Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",Second,40,29750,Female,1,39,1,1,1,"Cape Town, South Africa / Seattle, WA"
353,Bryhl," Miss. Dagmar Jenny Ingeborg ",Second,20,236853,Female,1,26,1,1,0,"Skara, Sweden / Rockford, IL"
354,Bryhl," Mr. Kurt Arnold Gottfrid",Second,25,236853,Male,1,26,0,1,0,"Skara, Sweden / Rockford, IL"
355,Buss," Miss. Kate",Second,36,27849,Female,1,13,1,0,0,"Sittingbourne, England / San Diego, CA"
356,Butler," Mr. Reginald Fenton",Second,25,234686,Male,1,13,0,0,0,"Southsea, Hants"
357,Byles," Rev. Thomas Roussel Davids",Second,42,244310,Male,1,13,0,0,0,London
358,Bystrom," Mrs. (Karolina)",Second,42,236852,Female,1,13,1,0,0,"New York, NY"
359,Caldwell," Master. Alden Gates",Second,0.8333,248738,Male,1,29,1,0,2,"Bangkok, Thailand / Roseville, IL"
360,Caldwell," Mr. Albert Francis",Second,26,248738,Male,1,29,1,1,1,"Bangkok, Thailand / Roseville, IL"
361,Caldwell," Mrs. Albert Francis (Sylvia Mae Harbaugh)",Second,22,248738,Female,1,29,1,1,1,"Bangkok, Thailand / Roseville, IL"
362,Cameron," Miss. Clear Annie",Second,35,"F.C.C. 13528",Female,1,21,1,0,0,"Mamaroneck, NY"
363,Campbell," Mr. William",Second,,239853,Male,1,0,0,0,0,Belfast
364,Carbines," Mr. William",Second,19,28424,Male,1,13,0,0,0,"St Ives, Cornwall / Calumet, MI"
365,Carter," Mrs. Ernest Courtenay (Lilian Hughes)",Second,44,244252,Female,1,26,0,1,0,London
366,Carter," Rev. Ernest Courtenay",Second,54,244252,Male,1,26,0,1,0,London
367,Chapman," Mr. Charles Henry",Second,52,248731,Male,1,13.5,0,0,0,"Bronx, NY"
368,Chapman," Mr. John Henry",Second,37,"SC/AH 29037",Male,1,26,0,1,0,"Cornwall / Spokane, WA"
369,Chapman," Mrs. John Henry (Sara Elizabeth Lawry)",Second,29,"SC/AH 29037",Female,1,26,0,1,0,"Cornwall / Spokane, WA"
370,Christy," Miss. Julie Rachel",Second,25,237789,Female,1,30,1,1,1,London
371,Christy," Mrs. (Alice Frances)",Second,45,237789,Female,1,30,1,0,2,London
372,Clarke," Mr. Charles Valentine",Second,29,2003,Male,1,26,0,1,0,"England / San Francisco, CA"
373,Clarke," Mrs. Charles V (Ada Maria Winfield)",Second,28,2003,Female,1,26,1,1,0,"England / San Francisco, CA"
374,Coleridge," Mr. Reginald Charles",Second,29,"W./C. 14263",Male,1,10.5,0,0,0,"Hartford, Huntingdonshire"
375,Collander," Mr. Erik Gustaf",Second,28,248740,Male,1,13,0,0,0,"Helsinki, Finland Ashtabula, Ohio"
376,Collett," Mr. Sidney C Stuart",Second,24,28034,Male,1,10.5,1,0,0,"London / Fort Byron, NY"
377,Collyer," Miss. Marjorie "Lottie"",Second,8,"C.A. 31921",Female,1,26.25,1,0,2,"Bishopstoke, Hants / Fayette Valley, ID"
378,Collyer," Mr. Harvey",Second,31,"C.A. 31921",Male,1,26.25,0,1,1,"Bishopstoke, Hants / Fayette Valley, ID"
379,Collyer," Mrs. Harvey (Charlotte Annie Tate)",Second,31,"C.A. 31921",Female,1,26.25,1,1,1,"Bishopstoke, Hants / Fayette Valley, ID"
380,Cook," Mrs. (Selena Rogers)",Second,22,"W./C. 14266",Female,1,10.5,1,0,0,Pennsylvania
381,Corbett," Mrs. Walter H (Irene Colvin)",Second,30,237249,Female,1,13,0,0,0,"Provo, UT"
382,Corey," Mrs. Percy C (Mary Phyllis Elizabeth Miller)",Second,,"F.C.C. 13534",Female,1,21,0,0,0,"Upper Burma, India Pittsburgh, PA"
383,Cotterill," Mr. Henry "Harry"",Second,21,29107,Male,1,11.5,0,0,0,"Penzance, Cornwall / Akron, OH"
384,Cunningham," Mr. Alfred Fleming",Second,,239853,Male,1,0,0,0,0,Belfast
385,Davies," Master. John Morgan Jr",Second,8,"C.A. 33112",Male,1,36.75,1,1,1,"St Ives, Cornwall / Hancock, MI"
386,Davies," Mr. Charles Henry",Second,18,"S.O.C. 14879",Male,1,73.5,0,0,0,"Lyndhurst, England"
387,Davies," Mrs. John Morgan (Elizabeth Agnes Mary White) ",Second,48,"C.A. 33112",Female,1,36.75,1,0,2,"St Ives, Cornwall / Hancock, MI"
388,Davis," Miss. Mary",Second,28,237668,Female,1,13,1,0,0,"London / Staten Island, NY"
389,"de Brito"," Mr. Jose Joaquim",Second,32,244360,Male,1,13,0,0,0,"Portugal / Sau Paulo, Brazil"
390,Deacon," Mr. Percy William",Second,17,"S.O.C. 14879",Male,1,73.5,0,0,0,
391,"del Carlo"," Mr. Sebastiano",Second,29,"SC/PARIS 2167",Male,2,27.7208,0,1,0,"Lucca, Italy / California"
392,"del Carlo"," Mrs. Sebastiano (Argenia Genovesi)",Second,24,"SC/PARIS 2167",Female,2,27.7208,1,1,0,"Lucca, Italy / California"
393,Denbury," Mr. Herbert",Second,25,"C.A. 31029",Male,1,31.5,0,0,0,"Guernsey / Elizabeth, NJ"
394,Dibden," Mr. William",Second,18,"S.O.C. 14879",Male,1,73.5,0,0,0,"New Forest, England"
395,Doling," Miss. Elsie",Second,18,231919,Female,1,23,1,0,1,Southampton
396,Doling," Mrs. John T (Ada Julia Bone)",Second,34,231919,Female,1,23,1,0,1,Southampton
397,Downton," Mr. William James",Second,54,28403,Male,1,26,0,0,0,"Holley, NY"
398,Drew," Master. Marshall Brines",Second,8,28220,Male,1,32.5,1,0,2,"Greenport, NY"
399,Drew," Mr. James Vivian",Second,42,28220,Male,1,32.5,0,1,1,"Greenport, NY"
400,Drew," Mrs. James Vivian (Lulu Thorne Christian)",Second,34,28220,Female,1,32.5,1,1,1,"Greenport, NY"
401,"Duran y More"," Miss. Asuncion",Second,27,"SC/PARIS 2149",Female,2,13.8583,1,1,0,"Barcelona, Spain / Havana, Cuba"
402,"Duran y More"," Miss. Florentina",Second,30,"SC/PARIS 2148",Female,2,13.8583,1,1,0,"Barcelona, Spain / Havana, Cuba"
403,Eitemiller," Mr. George Floyd",Second,23,29751,Male,1,13,0,0,0,"England / Detroit, MI"
404,Enander," Mr. Ingvar",Second,21,236854,Male,1,13,0,0,0,"Goteborg, Sweden / Rockford, IL"
405,Fahlstrom," Mr. Arne Jonas",Second,18,236171,Male,1,13,0,0,0,"Oslo, Norway Bayonne, NJ"
406,Faunthorpe," Mr. Harry",Second,40,2926,Male,1,26,0,1,0,"England / Philadelphia, PA"
407,Faunthorpe," Mrs. Lizzie (Elizabeth Anne Wilkinson)",Second,29,2926,Female,1,26,1,1,0,
408,Fillbrook," Mr. Joseph Charles",Second,18,"C.A. 15185",Male,1,10.5,0,0,0,"Cornwall / Houghton, MI"
409,Fox," Mr. Stanley Hubert",Second,36,229236,Male,1,13,0,0,0,"Rochester, NY"
410,Frost," Mr. Anthony Wood "Archie"",Second,,239854,Male,1,0,0,0,0,Belfast
411,Funk," Miss. Annie Clemmer",Second,38,237671,Female,1,13,0,0,0,"Janjgir, India / Pennsylvania"
412,Fynney," Mr. Joseph J",Second,35,239865,Male,1,26,0,0,0,"Liverpool / Montreal, PQ"
413,Gale," Mr. Harry",Second,38,28664,Male,1,21,0,1,0,"Cornwall / Clear Creek, CO"
414,Gale," Mr. Shadrach",Second,34,28664,Male,1,21,0,1,0,"Cornwall / Clear Creek, CO"
415,Garside," Miss. Ethel",Second,34,243880,Female,1,13,1,0,0,"Brooklyn, NY"
416,Gaskell," Mr. Alfred",Second,16,239865,Male,1,26,0,0,0,"Liverpool / Montreal, PQ"
417,Gavey," Mr. Lawrence",Second,26,31028,Male,1,10.5,0,0,0,"Guernsey / Elizabeth, NJ"
418,Gilbert," Mr. William",Second,47,"C.A. 30769",Male,1,10.5,0,0,0,Cornwall
419,Giles," Mr. Edgar",Second,21,28133,Male,1,11.5,0,1,0,"Cornwall / Camden, NJ"
420,Giles," Mr. Frederick Edward",Second,21,28134,Male,1,11.5,0,1,0,"Cornwall / Camden, NJ"
421,Giles," Mr. Ralph",Second,24,248726,Male,1,13.5,0,0,0,"West Kensington, London"
422,Gill," Mr. John William",Second,24,233866,Male,1,13,0,0,0,"Clevedon, England"
423,Gillespie," Mr. William Henry",Second,34,12233,Male,1,13,0,0,0,"Vancouver, BC"
424,Givard," Mr. Hans Kristensen",Second,30,250646,Male,1,13,0,0,0,
425,Greenberg," Mr. Samuel",Second,52,250647,Male,1,13,0,0,0,"Bronx, NY"
426,Hale," Mr. Reginald",Second,30,250653,Male,1,13,0,0,0,"Auburn, NY"
427,Hamalainen," Master. Viljo",Second,0.6667,250649,Male,1,14.5,1,1,1,"Detroit, MI"
428,Hamalainen," Mrs. William (Anna)",Second,24,250649,Female,1,14.5,1,0,2,"Detroit, MI"
429,Harbeck," Mr. William H",Second,44,248746,Male,1,13,0,0,0,"Seattle, WA / Toledo, OH"
430,Harper," Miss. Annie Jessie "Nina"",Second,6,248727,Female,1,33,1,0,1,"Denmark Hill, Surrey / Chicago"
431,Harper," Rev. John",Second,28,248727,Male,1,33,0,0,1,"Denmark Hill, Surrey / Chicago"
432,Harris," Mr. George",Second,62,"S.W./PP 752",Male,1,10.5,1,0,0,London
433,Harris," Mr. Walter",Second,30,"W/C 14208",Male,1,10.5,0,0,0,"Walthamstow, England"
434,Hart," Miss. Eva Miriam",Second,7,"F.C.C. 13529",Female,1,26.25,1,0,2,"Ilford, Essex / Winnipeg, MB"
435,Hart," Mr. Benjamin",Second,43,"F.C.C. 13529",Male,1,26.25,0,1,1,"Ilford, Essex / Winnipeg, MB"
436,Hart," Mrs. Benjamin (Esther Ada Bloomfield)",Second,45,"F.C.C. 13529",Female,1,26.25,1,1,1,"Ilford, Essex / Winnipeg, MB"
437,Herman," Miss. Alice",Second,24,220845,Female,1,65,1,1,2,"Somerset / Bernardsville, NJ"
438,Herman," Miss. Kate",Second,24,220845,Female,1,65,1,1,2,"Somerset / Bernardsville, NJ"
439,Herman," Mr. Samuel",Second,49,220845,Male,1,65,0,1,2,"Somerset / Bernardsville, NJ"
440,Herman," Mrs. Samuel (Jane Laver)",Second,48,220845,Female,1,65,1,1,2,"Somerset / Bernardsville, NJ"
441,Hewlett," Mrs. (Mary D Kingcome) ",Second,55,248706,Female,1,16,1,0,0,"India / Rapid City, SD"
442,Hickman," Mr. Leonard Mark",Second,24,"S.O.C. 14879",Male,1,73.5,0,2,0,"West Hampstead, London / Neepawa, MB"
443,Hickman," Mr. Lewis",Second,32,"S.O.C. 14879",Male,1,73.5,0,2,0,"West Hampstead, London / Neepawa, MB"
444,Hickman," Mr. Stanley George",Second,21,"S.O.C. 14879",Male,1,73.5,0,2,0,"West Hampstead, London / Neepawa, MB"
445,Hiltunen," Miss. Marta",Second,18,250650,Female,1,13,0,1,1,"Kontiolahti, Finland / Detroit, MI"
446,Hocking," Miss. Ellen "Nellie"",Second,20,29105,Female,1,23,1,2,1,"Cornwall / Akron, OH"
447,Hocking," Mr. Richard George",Second,23,29104,Male,1,11.5,0,2,1,"Cornwall / Akron, OH"
448,Hocking," Mr. Samuel James Metcalfe",Second,36,242963,Male,1,13,0,0,0,"Devonport, England"
449,Hocking," Mrs. Elizabeth (Eliza Needs)",Second,54,29105,Female,1,23,1,1,3,"Cornwall / Akron, OH"
450,Hodges," Mr. Henry Price",Second,50,250643,Male,1,13,0,0,0,Southampton
451,Hold," Mr. Stephen",Second,44,26707,Male,1,26,0,1,0,"England / Sacramento, CA"
452,Hold," Mrs. Stephen (Annie Margaret Hill)",Second,29,26707,Female,1,26,1,1,0,"England / Sacramento, CA"
453,Hood," Mr. Ambrose Jr",Second,21,"S.O.C. 14879",Male,1,73.5,0,0,0,"New Forest, England"
454,Hosono," Mr. Masabumi",Second,42,237798,Male,1,13,1,0,0,"Tokyo, Japan"
455,Howard," Mr. Benjamin",Second,63,24065,Male,1,26,0,1,0,"Swindon, England"
456,Howard," Mrs. Benjamin (Ellen Truelove Arman)",Second,60,24065,Female,1,26,0,1,0,"Swindon, England"
457,Hunt," Mr. George Henry",Second,33,"SCO/W 1585",Male,1,12.275,0,0,0,"Philadelphia, PA"
458,Ilett," Miss. Bertha",Second,17,"SO/C 14885",Female,1,10.5,1,0,0,Guernsey
459,Jacobsohn," Mr. Sidney Samuel",Second,42,243847,Male,1,27,0,1,0,London
460,Jacobsohn," Mrs. Sidney Samuel (Amy Frances Christy)",Second,24,243847,Female,1,27,1,2,1,London
461,Jarvis," Mr. John Denzil",Second,47,237565,Male,1,15,0,0,0,"North Evington, England"
462,Jefferys," Mr. Clifford Thomas",Second,24,"C.A. 31029",Male,1,31.5,0,2,0,"Guernsey / Elizabeth, NJ"
463,Jefferys," Mr. Ernest Wilfred",Second,22,"C.A. 31029",Male,1,31.5,0,2,0,"Guernsey / Elizabeth, NJ"
464,Jenkin," Mr. Stephen Curnow",Second,32,"C.A. 33111",Male,1,10.5,0,0,0,"St Ives, Cornwall / Houghton, MI"
465,Jerwan," Mrs. Amin S (Marie Marthe Thuillard)",Second,23,"SC/AH Basle 541",Female,2,13.7917,1,0,0,"New York, NY"
466,Kantor," Mr. Sinai",Second,34,244367,Male,1,26,0,1,0,"Moscow / Bronx, NY"
467,Kantor," Mrs. Sinai (Miriam Sternin)",Second,24,244367,Female,1,26,1,1,0,"Moscow / Bronx, NY"
468,Karnes," Mrs. J Frank (Claire Bennett)",Second,22,"F.C.C. 13534",Female,1,21,0,0,0,"India / Pittsburgh, PA"
469,Keane," Miss. Nora A",Second,,226593,Female,3,12.35,1,0,0,"Harrisburg, PA"
470,Keane," Mr. Daniel",Second,35,233734,Male,3,12.35,0,0,0,
471,Kelly," Mrs. Florence "Fannie"",Second,45,223596,Female,1,13.5,1,0,0,"London / New York, NY"
472,Kirkland," Rev. Charles Leonard",Second,57,219533,Male,3,12.35,0,0,0,"Glasgow / Bangor, ME"
473,Knight," Mr. Robert J",Second,,239855,Male,1,0,0,0,0,Belfast
474,Kvillner," Mr. Johan Henrik Johannesson",Second,31,"C.A. 18723",Male,1,10.5,0,0,0,"Sweden / Arlington, NJ"
475,Lahtinen," Mrs. William (Anna Sylfven)",Second,26,250651,Female,1,26,0,1,1,"Minneapolis, MN"
476,Lahtinen," Rev. William",Second,30,250651,Male,1,26,0,1,1,"Minneapolis, MN"
477,Lamb," Mr. John Joseph",Second,,240261,Male,3,10.7083,0,0,0,
478,Laroche," Miss. Louise",Second,1,"SC/Paris 2123",Female,2,41.5792,1,1,2,"Paris / Haiti"
479,Laroche," Miss. Simonne Marie Anne Andree",Second,3,"SC/Paris 2123",Female,2,41.5792,1,1,2,"Paris / Haiti"
480,Laroche," Mr. Joseph Philippe Lemercier",Second,25,"SC/Paris 2123",Male,2,41.5792,0,1,2,"Paris / Haiti"
481,Laroche," Mrs. Joseph (Juliette Marie Louise Lafargue)",Second,22,"SC/Paris 2123",Female,2,41.5792,1,1,2,"Paris / Haiti"
482,Lehmann," Miss. Bertha",Second,17,"SC 1748",Female,2,12,1,0,0,"Berne, Switzerland / Central City, IA"
483,Leitch," Miss. Jessie Wills",Second,,248727,Female,1,33,1,0,0,"London / Chicago, IL"
484,Lemore," Mrs. (Amelia Milley)",Second,34,"C.A. 34260",Female,1,10.5,1,0,0,"Chicago, IL"
485,Levy," Mr. Rene Jacques",Second,36,"SC/Paris 2163",Male,2,12.875,0,0,0,"Montreal, PQ"
486,Leyson," Mr. Robert William Norman",Second,24,"C.A. 29566",Male,1,10.5,0,0,0,
487,Lingane," Mr. John",Second,61,235509,Male,3,12.35,0,0,0,
488,Louch," Mr. Charles Alexander",Second,50,"SC/AH 3085",Male,1,26,0,1,0,"Weston-Super-Mare, Somerset"
489,Louch," Mrs. Charles Alexander (Alice Adelaide Slow)",Second,42,"SC/AH 3085",Female,1,26,1,1,0,"Weston-Super-Mare, Somerset"
490,Mack," Mrs. (Mary)",Second,57,"S.O./P.P. 3",Female,1,10.5,0,0,0,"Southampton / New York, NY"
491,Malachard," Mr. Noel",Second,,237735,Male,2,15.0458,0,0,0,Paris
492,Mallet," Master. Andre",Second,1,"S.C./PARIS 2079",Male,2,37.0042,1,0,2,"Paris / Montreal, PQ"
493,Mallet," Mr. Albert",Second,31,"S.C./PARIS 2079",Male,2,37.0042,0,1,1,"Paris / Montreal, PQ"
494,Mallet," Mrs. Albert (Antoinette Magnin)",Second,24,"S.C./PARIS 2079",Female,2,37.0042,1,1,1,"Paris / Montreal, PQ"
